0.011 -0.079 0.031 -0.021 -0.02 -0.012 0.006
-0.029 0.143 0.024 0.151 0.023 -0.063 0.075
-0.06 0.025 0.062 0.061 0.031 -0.003 0.075
0.017 0.122 0.105 0.017 0.008 -0.055 0.107
-0.015 -0.196 -0.114 0.022 0.066 0.025 -0.112
-0.03 -0.216 -0.094 0.026 0.021 0.045 -0.014
-0.002 -0.069 -0.072 0.021 0.031 0.003 -0.065
-0.018 -0.111 -0.013 -0.013 0 -0.093 -0.019
-0.048 0 -0.072 0.112 -0.012 0.008 0.102
0.075 0.167 -0.032 0.038 0.011 0.065 -0.065
0.044 -0.214 -0.062 -0.008 -0.077 -0.047 -0.06
0.119 0.091 0.056 0.042 -0.004 -0.045 0.027
-0.014 -0.042 0.145 0.036 -0.111 -0.004 -0.049
-0.034 0.087 0.038 0.022 0.136 -0.029 -0.104
0.075 0.16 -0.025 0.05 0.044 -0.008 0.054
-0.029 0 0.042 0.016 0.043 0.034 -0.056
-0.014 -0.103 0.106 -0.024 -0.033 -0.017 -0.073
0.082 0.077 -0.118 -0.032 0.019 -0.06 -0.055
0.087 -0.036 0.055 0.133 0.13 0.056 0.273
0.041 -0.259 -0.139 0.039 0.209 0.027 -0.061
0.089 0.35 0.171 -0.05 -0.009 0.056 0.133
0.094 0.074 0.289 -0.011 -0.072 0.012 0.175
0.113 0 0.093 0.123 0.015 0.029 -0.052
0.027 0.103 0.04 -0.012 0.015 0.036 0.225
0.01 0.406 0.027 0.06 0.024 0.008 -0.01
0.028 -0.067 -0.016 0.048 0.084 0.039 0.034
0.15 0.024 -0.043 0.045 0.119 0.098 -0.06
-0.041 0.186 -0.045 -0.012 0.016 -0.038 -0.052
0.081 0.275 0.012 0 0.114 0.018 0.075
0.001 -0.015 -0.259 0.017 -0.007 0.036 -0.142
0.001 -0.047 0.08 -0.023 0.062 0.059 0.007
0.062 -0.066 0.041 0.087 0.049 -0.037 -0.005
-0.001 0.035 0.039 0.101 0 -0.014 -0.364
-0.066 0.119 0.12 -0.025 0.077 0.011 0.065
0.039 -0.015 -0.028 0.005 0.063 0.021 0.034
-0.065 0.031 -0.013 0.005 0.065 0.108 0.208
-0.026 -0.179 -0.117 -0.069 -0.091 0.151 -0.024
0.034 -0.018 0.065 0.055 -0.003 -0.122 0.057
-0.002 -0.185 -0.085 0.031 -0.025 0.022 0.053
-0.044 -0.045 -0.07 0.021 -0.087 -0.105 -0.071
-0.019 -0.024 -0.012 0.02 0.105 -0.046 -0.043
0.047 -0.024 0.045 0.054 -0.112 -0.044 -0.009
0.127 0 0.04 0.029 0.018 0.14 0.159
0.004 0 0.008 0.051 0.165 0.045 -0.025
0.012 -0.05 0.161 0.019 -0.16 -0.08 0.093
-0.023 -0.026 -0.026 0.004 0.094 0.007 0.006
0.011 0 0.156 0.084 -0.005 0 0.07
0.108 -0.027 -0.01 -0.021 0.091 0.044 0.084
-0.009 -0.028 0.087 0.034 0.006 0.022 -0.067
-0.052 0.086 -0.003 0.057 0.13 0.014 -0.071
-0.004 0.053 -0.123 0.019 -0.037 0.111 -0.05
0.025 0.35 0.179 0.098 0.234 -0.065 0.057
-0.038 0.056 0.021 0.046 -0.031 0.031 -0.101
0.062 0 0.008 -0.084 -0.036 -0.03 0.08
-0.028 0.088 -0.066 0.043 0.025 0.021 0.032
-0.022 -0.065 -0.112 -0.032 -0.048 -0.007 0.036
0.048 0.069 -0.083 0.066 0.097 0.099 0.04
0.085 0.016 0.02 0.032 0.137 -0.175 0.073
0.113 -0.016 0.03 0.082 0.063 -0.077 0.095
-0.026 0.129 0.122 0.022 -0.088 -0.038 0.162
0.003 -0.029 -0.055 0.048 0.034 0.071 0.093
0.004 -0.074 0.076 0.021 0.174 -0.004 -0.063
0.031 -0.206 0.059 -0.006 0.113 0.05 0.119
-0.018 0.06 -0.043 0.042 -0.04 0.069 0.037
-0.039 -0.094 -0.07 0.017 -0.038 -0.042 -0.063
-0.096 -0.063 0.018 0.125 -0.105 -0.036 0.066
0.055 0.022 0.018 0.061 0.111 0.135 0.105
-0.031 -0.065 0.026 -0.139 0.037 0.026 -0.11
-0.081 0.023 0.134 0.045 -0.069 0.043 0.103
0.037 0.023 -0.018 0.07 -0.02 -0.028 0.048
-0.056 -0.244 -0.01 -0.046 -0.06 0.047 0.008
0.073 0.353 0.161 0.04 0.057 0.049 0.385
0.092 -0.152 0.133 -0.067 0.019 -0.08 0.056
0.076 -0.103 -0.129 -0.05 0.04 0.103 0.061
0.067 0.114 -0.121 0.02 -0.063 -0.094 0.055
0.006 0 0.151 -0.012 0.138 0.114 -0.082
0.016 0.103 0.014 0.059 0.005 0.073 0.041
-0.009 0 0.043 -0.039 0.232 0.142 0
0.053 -0.093 -0.037 0.043 -0.113 -0.076 0.157
-0.105 -0.051 -0.067 -0.006 -0.061 -0.053 0.001
-0.187 -0.27 -0.26 -0.017 -0.288 -0.194 -0.281
-0.087 0.185 -0.137 -0.012 -0.085 -0.031 -0.127
0.043 -0.313 0.121 -0.006 0.07 0.178 0.134
